"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"인천가톨릭대학교","대학","사립","인천","1420740790","1296755790","","123985000","978913850","261592000","98700000","52665150","","565956700","2399654640"
"인하대학교","대학","사립","인천","31864499892","28966829122","168779990","2728890780","20566277217","6741313700","6110443700","2581328690","118404200","5014786927","52430777109"
"장로회신학대학교","대학","사립","서울","2017738060","1812450260","49125600","156162200","543558820","120871430","94185600","66314760","","262187030","2561296880"
"전주대학교","대학","사립","전북","27136299810","25654230540","655601495","826467775","12009364930","1579120850","3176608550","1139499160","64446600","6049689770","39145664740"
"정석대학","대학","사립","서울","","","","","","","","","","",""
"제주국제대학교","대학","사립","제주","2879846830","2380700670","405379660","93766500","1542613760","183804000","307707820","37899620","47694000","965508320","4422460590"
"조선대학교","대학","사립","광주","41987697200","40959208610","176802670","851685920","22998623115","7510436290","5536598030","476013290","383801100","9091774405","64986320315"
"중부대학교","대학","사립","충남","17191632050","17084899540","21973560","84758950","10820540880","2661791500","2521544500","1663576480","144939000","3828689400","28012172930"
"중앙대학교","대학","사립","서울","39740559870","36101613420","221454796","3417491654","33546697483","11735850000","14567974845","1556598955","197725000","5488548683","73287257353"
"중앙승가대학교","대학","사립","경기","323993500","171039500","","152954000","1760000","","","","","1760000","325753500"
"중원대학교","대학","사립","충북","6305276800","6216258700","6000000","83018100","8006885870","1311323300","84534800","104127150","93608000","6413292620","14312162670"
"차의과학대학교","대학","사립","경기","4487692280","4379205080","10000000","98487200","3092119595","620277250","1035264910","145324345","","1291253090","7579811875"
"창신대학교","대학","사립","경남","4339400937","4266103897","6473240","66823800","2586768100","553554500","557850000","148809700","2780000","1323773900","6926169037"
